@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
146,'2024/02/28 01:11:18:344',1,0.005958,0.002591,0.000378,0.191674,0.085867,-2.638473,0.99,0,0
147,'2024/02/28 01:11:18:377',1,0.006181,0.000337,0.002643,0.191772,0.085749,-2.638273,0.99,0,0
148,'2024/02/28 01:11:18:410',1,0.000394,0.00246,0.010141,0.192007,0.085508,-2.637999,0.99,0,0
149,'2024/02/28 01:11:18:443',1,0.002386,0.003681,0.007068,0.191914,0.085607,-2.63781,0.99,0,0
150,'2024/02/28 01:11:18:477',1,0.001519,0.00115,0.004583,0.191932,0.08573,-2.637743,0.99,0,0
151,'2024/02/28 01:11:18:510',1,0.007665,0.001577,0.008391,0.192025,0.085782,-2.637651,0.99,0,0
152,'2024/02/28 01:11:18:544',1,0.002042,0.001462,0.005583,0.191985,0.085695,-2.637405,0.99,0,0
153,'2024/02/28 01:11:18:577',1,-0.000109,0.000502,0.004951,0.192095,0.085697,-2.637395,0.99,0,0
154,'2024/02/28 01:11:18:610',1,0.001529,0.001622,0.011716,0.192211,0.085911,-2.637583,1,0,0
155,'2024/02/28 01:11:18:644',1,0.005179,0.00132,0.007474,0.191997,0.086045,-2.637675,1,0,0
156,'2024/02/28 01:11:18:677',1,0.002043,0.002877,0.002916,0.191826,0.08619,-2.637772,1,0,0
157,'2024/02/28 01:11:18:710',1,0.005142,0.002948,0.002457,0.191867,0.086112,-2.637748,1,0,0
158,'2024/02/28 01:11:18:744',1,-0.001909,0.000927,0.003893,0.192202,0.085885,-2.637757,1,0,0
159,'2024/02/28 01:11:18:777',1,0.006426,0.000014,0.008918,0.192795,0.085751,-2.637751,1,0,0
160,'2024/02/28 01:11:18:810',1,0.004098,0.002072,0.011075,0.193011,0.085373,-2.637537,1,0,0
161,'2024/02/28 01:11:18:846',1,-0.002823,0.002595,0.007614,0.192969,0.085257,-2.637424,1,0,0
162,'2024/02/28 01:11:18:877',1,0.008264,-0.000504,0.002323,0.192889,0.085574,-2.637564,1,0,0
163,'2024/02/28 01:11:18:912',1,0.00876,0.000341,0.003841,0.193113,0.085335,-2.637353,0.99,0,0
164,'2024/02/28 01:11:18:945',1,0.001336,0.001704,0.009226,0.193461,0.084928,-2.636936,0.99,0,0
165,'2024/02/28 01:11:18:977',1,-0.002586,0.002208,0.012591,0.193491,0.084945,-2.636867,0.99,0,0
166,'2024/02/28 01:11:19:010',1,0.000475,0.002783,0.008637,0.193129,0.085428,-2.637144,0.99,0,0
167,'2024/02/28 01:11:19:045',1,0.005893,0.001155,0.001178,0.192745,0.085904,-2.637433,0.99,0,0
168,'2024/02/28 01:11:19:078',1,0.009126,0.002363,0.002759,0.192733,0.085828,-2.63733,0.99,0,0
