@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
138,'2024/02/21 17:42:53:067',4,15.113818,1.041064,7.982357,7.928694,-0.069101,2.752025,2.767646,0,0,0,0,0,1,0,0
139,'2024/02/21 17:42:53:107',4,14.807804,1.054062,7.979543,7.931021,-0.080536,2.731127,2.747087,0,0,0,0,0,1,0,0
140,'2024/02/21 17:42:53:142',4,14.651979,1.038988,7.99857,7.943085,-0.072403,2.690063,2.712476,0,0,0,0,0,1,0,0
141,'2024/02/21 17:42:53:177',4,15.318189,1.062699,7.982096,7.937426,-0.081507,2.656684,2.672194,0,0,0,0,0,1,0,0
142,'2024/02/21 17:42:53:206',4,14.809826,1.040251,8.015141,7.967713,-0.077453,2.691162,2.708616,0,0,0,0,0,1,0,0
143,'2024/02/21 17:42:53:241',4,14.928017,1.061927,8.016376,7.965647,-0.078789,2.693754,2.715887,0,0,0,0,0,1,0,0
144,'2024/02/21 17:42:53:276',4,14.613216,1.035864,7.998428,7.941741,-0.076786,2.734672,2.751122,0,0,0,0,0,1,0,0
145,'2024/02/21 17:42:53:305',4,15.165804,1.07217,8.009295,7.963864,-0.081247,2.671996,2.687721,0,0,0,0,0,1,0,0
146,'2024/02/21 17:42:53:340',4,15.086434,1.047047,7.963694,7.912662,-0.076837,2.736432,2.749235,0,0,0,0,0,1,0,0
147,'2024/02/21 17:42:53:369',4,15.077128,1.052813,7.920195,7.880722,-0.082292,2.722131,2.745295,0,0,0,0,0,1,0,0
148,'2024/02/21 17:42:53:409',4,14.841696,1.056164,7.830326,7.784641,-0.074701,2.767976,2.784216,0,0,0,0,0,1,0,0
149,'2024/02/21 17:42:53:438',4,14.42765,1.020306,7.847793,7.802749,-0.076422,2.815312,2.839422,0,0,0,0,0,1,0,0
150,'2024/02/21 17:42:53:467',4,15.2278,1.087598,7.877791,7.836513,-0.083202,2.695269,2.709708,0,0,0,0,0,1,0,0
151,'2024/02/21 17:42:53:508',4,14.883851,1.017996,7.785222,7.758982,-0.082769,2.880474,2.90524,0,0,0,0,0,1,0,0
152,'2024/02/21 17:42:53:543',4,14.14381,1.053915,7.959679,7.907768,-0.080333,2.676261,2.693172,0,0,0,0,0,1,0,0
